ts,ro,tk
0.500,9963.133,298.034
1.000,9959.051,298.043
1.500,9954.224,298.053
2.000,9948.546,298.066
2.500,9943.262,298.077
3.000,9940.656,298.083
3.500,9933.769,298.098
4.000,9922.677,298.122
4.500,9914.400,298.140
5.000,9884.069,298.207
5.500,9722.903,298.564
6.000,9300.092,299.534
6.500,8923.353,300.441
7.000,8610.314,301.230
7.500,8354.488,301.899
8.000,8143.732,302.468
8.500,7968.235,302.954
9.000,7820.277,303.375
9.500,7693.384,303.742
10.000,7581.095,304.074
10.500,7501.059,304.313
11.000,7473.644,304.396
11.500,7425.176,304.543
12.000,7407.591,304.597
12.500,7408.199,304.595
13.000,7412.126,304.583
13.500,7431.971,304.522
14.000,7476.696,304.387
14.500,7526.424,304.237
15.000,7573.919,304.095
15.500,7620.851,303.956
16.000,7668.895,303.814
16.500,7716.156,303.676
17.000,7762.176,303.542
17.500,7806.305,303.415
18.000,7849.189,303.292
18.500,7891.305,303.172
19.000,7931.387,303.058
19.500,7968.916,302.953
20.000,7994.680,302.880
20.500,7979.127,302.924
21.000,7886.717,303.185
21.500,7775.031,303.505
22.000,7672.759,303.803
22.500,7583.158,304.067
23.000,7504.468,304.303
23.500,7435.653,304.511
24.000,7375.739,304.694
24.500,7322.728,304.858
25.000,7275.676,305.004
25.500,7234.715,305.132
26.000,7198.427,305.246
26.500,7165.389,305.351
27.000,7135.355,305.446
27.500,7108.595,305.532
28.000,7084.207,305.610
28.500,7061.963,305.682
29.000,7041.979,305.746
29.500,7023.883,305.805
30.000,7006.903,305.860
30.500,6991.610,305.910
31.000,6985.920,305.929
31.500,7005.873,305.864
32.000,7050.675,305.718
32.500,7100.515,305.558
33.000,7149.383,305.402
33.500,7196.317,305.253
34.000,7241.480,305.111
34.500,7284.400,304.977
35.000,7326.734,304.845
35.500,7369.568,304.713
36.000,7412.322,304.582
36.500,7454.023,304.455
37.000,7491.312,304.342
37.500,7526.554,304.236
38.000,7562.378,304.129
38.500,7598.034,304.023
39.000,7633.321,303.919
39.500,7666.934,303.820
40.000,7698.854,303.726
40.500,7730.556,303.634
41.000,7763.269,303.539
41.500,7796.080,303.444
42.000,7829.966,303.347
42.500,7886.156,303.186
43.000,7959.876,302.978
43.500,8026.839,302.791
44.000,8085.856,302.627
44.500,8140.736,302.476
45.000,8198.585,302.318
45.500,8205.795,302.298
46.000,8234.221,302.221
46.500,8278.963,302.101
47.000,8316.853,301.999
47.500,8344.310,301.926
48.000,8364.338,301.872
48.500,8396.682,301.787
49.000,8409.305,301.753
49.500,8417.344,301.732
50.000,8421.899,301.720
50.500,8426.003,301.709
51.000,8433.918,301.688
51.500,8479.251,301.569
52.000,8496.049,301.525
52.500,8509.815,301.490
53.000,8519.150,301.465
53.500,8527.047,301.445
54.000,8547.621,301.391
54.500,8581.931,301.303
55.000,8614.342,301.219
55.500,8642.660,301.147
56.000,8673.955,301.067
56.500,8726.056,300.934
57.000,8781.834,300.794
57.500,8828.863,300.676
58.000,8867.140,300.580
58.500,8898.338,300.503
59.000,8923.916,300.440
59.500,8943.994,300.390
60.000,8960.360,300.350
