ts,ro,tk
0.5,9963.133,298.034
1.0,9959.051,298.043
1.5,9954.224,298.053
2.0,9948.546,298.066
2.5,9943.262,298.077
3.0,9940.656,298.083
3.5,9933.769,298.098
4.0,9922.677,298.122
4.5,9914.4,298.14
5.0,9884.069,298.207
5.5,9722.903,298.564
6.0,9300.092,299.534
6.5,8923.353,300.441
7.0,8610.314,301.23
7.5,8354.488,301.899
8.0,8143.732,302.468
8.5,7968.235,302.954
9.0,7820.277,303.375
9.5,7693.384,303.742
10.0,7581.095,304.074
10.5,7501.059,304.313
11.0,7473.644,304.396
11.5,7425.176,304.543
12.0,7407.591,304.597
12.5,7408.199,304.595
13.0,7412.126,304.583
13.5,7431.971,304.522
14.0,7476.696,304.387
14.5,7526.424,304.237
15.0,7573.919,304.095
15.5,7620.851,303.956
16.0,7668.895,303.814
16.5,7716.156,303.676
17.0,7762.176,303.542
17.5,7806.305,303.415
18.0,7849.189,303.292
18.5,7891.305,303.172
19.0,7931.387,303.058
19.5,7968.916,302.953
20.0,7994.68,302.88
20.5,7979.127,302.924
21.0,7886.717,303.185
21.5,7775.031,303.505
22.0,7672.759,303.803
22.5,7583.158,304.067
23.0,7504.468,304.303
23.5,7435.653,304.511
24.0,7375.739,304.694
24.5,7322.728,304.858
25.0,7275.676,305.004
25.5,7234.715,305.132
26.0,7198.427,305.246
26.5,7165.389,305.351
27.0,7135.355,305.446
27.5,7108.595,305.532
28.0,7084.207,305.61
28.5,7061.963,305.682
29.0,7041.979,305.746
29.5,7023.883,305.805
30.0,7006.903,305.86
30.5,6991.61,305.91
31.0,6985.92,305.929
31.5,7005.873,305.864
32.0,7050.675,305.718
32.5,7100.515,305.558
33.0,7149.383,305.402
33.5,7196.317,305.253
34.0,7241.48,305.111
34.5,7284.4,304.977
35.0,7326.734,304.845
35.5,7369.568,304.713
36.0,7412.322,304.582
36.5,7454.023,304.455
37.0,7491.312,304.342
37.5,7526.554,304.236
38.0,7562.378,304.129
38.5,7598.034,304.023
39.0,7633.321,303.919
39.5,7666.934,303.82
40.0,7698.854,303.726
40.5,7730.556,303.634
41.0,7763.269,303.539
41.5,7796.08,303.444
42.0,7829.966,303.347
42.5,7886.156,303.186
43.0,7959.876,302.978
43.5,8026.839,302.791
44.0,8085.856,302.627
44.5,8140.736,302.476
45.0,8198.585,302.318
45.5,8205.795,302.298
46.0,8234.221,302.221
46.5,8278.963,302.101
47.0,8316.853,301.999
47.5,8344.31,301.926
48.0,8364.338,301.872
48.5,8396.682,301.787
49.0,8409.305,301.753
49.5,8417.344,301.732
50.0,8421.899,301.72
50.5,8426.003,301.709
51.0,8433.918,301.688
51.5,8479.251,301.569
52.0,8496.049,301.525
52.5,8509.815,301.49
53.0,8519.15,301.465
53.5,8527.047,301.445
54.0,8547.621,301.391
54.5,8581.931,301.303
55.0,8614.342,301.219
55.5,8642.66,301.147
56.0,8673.955,301.067
56.5,8726.056,300.934
57.0,8781.834,300.794
57.5,8828.863,300.676
58.0,8867.14,300.58
58.5,8898.338,300.503
59.0,8923.916,300.44
59.5,8943.994,300.39
60.0,8960.36,300.35
